,Issuing Agent,Policy No,POLICY ACKNOWLED,CC_Month
124650,60074407,80131493,2023-01-09,3
124654,60075268,80131748,2023-01-16,3
124655,60075268,80131749,2023-01-16,3
124656,60075268,80131750,2023-01-16,3
124657,60075268,80131751,2023-01-16,3
124661,60075629,80131495,2023-01-09,3
124663,60075629,80131497,2023-01-09,3
124664,60075834,80131752,2023-01-27,3
124665,60075877,80131753,2023-01-17,3
124666,60075806,80131754,2023-01-21,3
124670,60075667,80131499,2023-01-11,3
124671,60075667,80131500,2023-01-11,3
124674,60075545,80131503,2023-01-10,3
124675,60075667,80131504,2023-01-11,3
124676,60074534,80131505,2023-01-11,3
124677,60075667,80131506,2023-01-13,3
124678,60075451,80131148,2023-01-31,3
124685,60075657,80130539,2023-01-05,3
124687,60075657,80130541,2023-01-05,3
124690,60074534,80131508,2023-01-11,3
124694,60075817,80131757,2023-01-27,3
124696,60074568,80131759,2023-01-19,3
124697,60074509,80131760,2023-01-17,3
124702,60074830,80130543,2023-01-16,3
124704,60075298,80130545,2023-01-06,3
124707,60075332,80131513,2023-01-11,3
124709,60075805,80131762,2023-01-17,3
124712,60075802,80131765,2023-01-27,3
124713,60074512,80131766,2023-01-19,3
124714,60075834,80131767,2023-01-17,3
124715,60075495,80131155,2023-01-09,3
124724,60075351,80130547,2023-01-10,3
124725,60075297,80130548,2023-01-05,3
124728,60075510,80131516,2023-01-11,3
124729,60074031,80131517,2023-01-16,3
124730,60075180,80131518,2023-01-15,3
124731,60073069,80131159,2023-01-31,3
124737,60075502,80131768,2023-01-19,3
124738,60074148,80131769,2023-01-18,3
124739,60074502,80131770,2023-01-17,3
124740,60075317,80131771,2023-01-16,3
124747,60074031,80131519,2023-01-15,3
124748,60069884,80131520,2023-01-16,3
124749,60075582,80131521,2023-01-17,3
124750,60075357,80131522,2023-01-11,3
124751,60075275,80131523,2023-01-13,3
124755,60074919,80131776,2023-01-19,3
124756,60075877,80131777,2023-01-27,3
124757,60075854,80131778,2023-01-18,3
124758,60074636,80131779,2023-01-19,3
124759,60074503,80131780,2023-01-17,3
124767,60074035,80131524,2023-01-18,3
124769,60075196,80131526,2023-01-19,3
124770,60075510,80131527,2023-01-11,3
124771,60050224,80131528,2023-01-16,3
124772,60074666,80131529,2023-01-12,3
124782,60075802,80131783,2023-01-27,3
124783,60074503,80131784,2023-01-17,3
124784,60075863,80131785,2023-01-19,3
124788,60075183,80130550,2023-01-09,3
124791,60075699,80130908,2023-01-09,3
124795,60075630,80131170,2023-01-09,3
124796,60075658,80131171,2023-01-09,3
124803,60075617,80131177,2023-02-02,2
124805,60075501,80131179,2023-01-09,3
124811,60075545,80130556,2023-01-09,3
124815,60075398,80130912,2023-01-05,3
124820,60075706,80131537,2023-01-11,3
124825,60075213,80130915,2023-01-30,3
124836,60074460,80130927,2023-01-09,3
124847,60074457,80130934,2023-01-09,3
124848,60075367,80130935,2023-01-07,3
124850,60075122,80132018,2023-02-06,2
124852,60075743,80132020,2023-02-08,2
124853,60075766,80132021,2023-01-31,3
124854,60075766,80132022,2023-01-31,3
124856,60075887,80132024,2023-01-30,3
124859,60074075,80131188,2023-01-16,3
124866,60074216,80130559,2023-01-16,3
124875,60075606,80131538,2023-02-20,2
124876,60075275,80131539,2023-01-13,3
124877,60074666,80131540,2023-01-12,3
124878,60075630,80131190,2023-01-09,3
124882,60075204,80131800,2023-01-19,3
124884,60075706,80131541,2023-01-11,3
124886,60075460,80131543,2023-02-03,2
124894,60074562,80130576,2023-01-09,3
124899,60075729,80131194,2023-01-12,3
124900,60075288,80131545,2023-01-12,3
124906,60075863,80131805,2023-01-19,3
124914,60075317,80131810,2023-01-16,3
124917,60074489,80131812,2023-01-16,3
124923,60075816,80131816,2023-01-17,3
124927,60075615,80131198,2023-01-11,3
124933,60075863,80131825,2023-01-19,3
124934,60075460,80131826,2023-01-20,3
124935,60075583,80131827,2023-01-17,3
124945,60069360,80131550,2023-01-16,3
124947,60075336,80131205,2023-01-09,3
124948,60075094,80131206,2023-02-05,2
124952,60075545,80131556,2023-01-16,3
124954,60075280,80131209,2023-01-10,3
124955,60075579,80131210,2023-01-09,3
124966,60075166,80131562,2023-01-12,3
124973,60075839,80132026,2023-01-30,3
124974,60074455,80132027,2023-01-30,3
124975,60075347,80132028,2023-01-30,3
124978,60075174,80132032,2023-01-31,3
124979,60074485,80132033,2023-01-30,3
124980,60074489,80132034,2023-01-31,3
124985,60075817,80131830,2023-01-18,3
124988,60074457,80130937,2023-01-09,3
124989,60074457,80130938,2023-01-09,3
124994,60075830,80131570,2023-01-12,3
124997,60075368,80131220,2023-01-11,3
125000,60075426,80131223,2023-01-11,3
125001,60073055,80131832,2023-01-31,3
125005,60075351,80130584,2023-01-09,3
125006,60075098,80130586,2023-01-04,3
125009,60075421,80132400,2023-02-01,2
125011,60075163,80131573,2023-02-13,2
125015,60074971,80131225,2023-01-15,3
125016,60074971,80131226,2023-01-15,3
125017,60075885,80131835,2023-01-16,3
125018,60074758,80131836,2023-01-27,3
125019,60075319,80131838,2023-01-18,3
125020,60075319,80131839,2023-01-18,3
125023,60075593,80132403,2023-02-02,2
125026,60075874,80132406,2023-02-06,2
125038,60075857,80132408,2023-01-31,3
125041,60074648,80130590,2023-01-10,3
125042,60075098,80130591,2023-01-04,3
125044,60075444,80131231,2023-01-09,3
125046,60074756,80131584,2023-01-13,3
125048,60075642,80131847,2023-01-30,3
125053,60075797,80132411,2023-02-06,2
125054,60074488,80132412,2023-01-31,3
125055,60075835,80132413,2023-02-06,2
125059,60075326,80130594,2023-01-09,3
125062,60074559,80130597,2023-02-19,2
125063,60075692,80130598,2023-01-16,3
125067,60074756,80131588,2023-01-13,3
125068,60069067,80131589,2023-01-19,3
125076,60075580,80131235,2023-01-11,3
125079,60075692,80130601,2023-01-16,3
125080,60075299,80130602,2023-01-05,3
125082,60075311,80130604,2023-01-09,3
125084,60074502,80132419,2023-01-31,3
125086,60073330,80131236,2023-01-09,3
125087,60074964,80131237,2023-01-10,3
125095,60075444,80131240,2023-01-09,3
125096,60075054,80131241,2023-01-18,3
125098,60075496,80130608,2023-01-07,3
125102,60074683,80132428,2023-01-31,3
125103,60075653,80132429,2023-02-06,2
125107,60075587,80131244,2023-01-10,3
125108,60075426,80131245,2023-01-11,3
125109,60074495,80131850,2023-01-17,3
125116,60075252,80131857,2023-01-20,3
125121,60074741,80131862,2023-01-15,3
125122,60075406,80131863,2023-01-16,3
125124,60039572,80131246,2023-01-18,3
125128,60075659,80132433,2023-01-31,3
125129,60075899,80132434,2023-02-14,2
125130,60075912,80132435,2023-02-15,2
125131,60067425,80132436,2023-02-23,2
125134,60075304,80130613,2023-02-23,2
125137,60074988,80131593,2023-01-30,3
125141,60075195,80132763,2023-02-06,2
125143,60074918,80132765,2023-02-06,2
125148,60067591,80131868,2023-01-28,3
125149,60074757,80131869,2023-01-27,3
125150,60075642,80131870,2023-01-30,3
125151,60074683,80132437,2023-01-31,3
125152,60075247,80132438,2023-02-03,2
125153,60074703,80132439,2023-02-23,2
125154,60069067,80131597,2023-01-19,3
125157,60075910,80132768,2023-02-06,2
125163,60076010,80132443,2023-02-06,2
125170,60075620,80131878,2023-01-30,3
125171,60074583,80131600,2023-01-30,3
125175,60076066,80132774,2023-02-06,2
125181,60075778,80131880,2023-01-18,3
125182,60075054,80131881,2023-01-18,3
125190,60074498,80131884,2023-01-19,3
125199,60075542,80130617,2023-01-10,3
125201,60071523,80130619,2023-01-08,3
125204,60075864,80133504,2023-02-27,2
125205,60075863,80133505,2023-02-27,2
125210,60076119,80132783,2023-02-06,2
125211,60075669,80132784,2023-02-06,2
125212,60076039,80132785,2023-02-13,2
125214,60075956,80132787,2023-03-03,1
125215,60076012,80132788,2023-02-10,2
125216,60075863,80133509,2023-02-27,2
125218,60074555,80133511,2023-02-20,2
125219,60074555,80133512,2023-02-16,2
125224,60071425,80133517,2023-02-23,2
125225,60070720,80133518,2023-02-23,2
125226,60074555,80133519,2023-02-16,2
125227,60075799,80132448,2023-02-02,2
125228,60075741,80132450,2023-02-02,2
125229,60074837,80132451,2023-02-05,2
125232,60075545,80132455,2023-02-07,2
125233,60075657,80132456,2023-02-06,2
125234,60075684,80132457,2023-02-06,2
125235,60074741,80132458,2023-02-02,2
125236,60074813,80132459,2023-02-04,2
125238,60075545,80132461,2023-02-07,2
125241,60075955,80132789,2023-02-06,2
125244,60075898,80131891,2023-02-07,2
125245,60074674,80131892,2023-01-18,3
125246,60075689,80131893,2023-01-17,3
125247,60074674,80131894,2023-01-18,3
125249,60073866,80133521,2023-02-15,2
125250,60076056,80133522,2023-02-15,2
125251,60076056,80133523,2023-02-15,2
125252,60073866,80133524,2023-02-15,2
125255,60074837,80132464,2023-02-05,2
125256,60075692,80132465,2023-02-08,2
125258,60074710,80131897,2023-02-05,2
125260,60074451,80133124,2023-02-15,2
125261,60076124,80133125,2023-02-07,2
125262,60075273,80133126,2023-02-20,2
125263,60075973,80133127,2023-02-12,2
125264,60076091,80133128,2023-02-09,2
125265,60076092,80133129,2023-02-09,2
125267,60076056,80133525,2023-02-15,2
125268,60076065,80133526,2023-02-23,2
125270,60076056,80133528,2023-02-15,2
125271,60075864,80133529,2023-02-27,2
125273,60075183,80132467,2023-02-01,2
125277,60075061,80132792,2023-02-07,2
125278,60075216,80132793,2023-02-07,2
125279,60075523,80132794,2023-02-07,2
125280,60075925,80132795,2023-02-07,2
125282,60075935,80132797,2023-02-10,2
125283,60075961,80132798,2023-02-08,2
125284,60075100,80132799,2023-02-07,2
125286,60075642,80132471,2023-02-02,2
125287,60075545,80132472,2023-02-07,2
125289,60076077,80133132,2023-02-07,2
125290,60023613,80133133,2023-02-07,2
125291,60060797,80132800,2023-02-07,2
125292,60075080,80132801,2023-02-06,2
125293,60075880,80132802,2023-02-07,2
125295,60075080,80132804,2023-02-06,2
125297,60075263,80132474,2023-02-01,2
125298,60075513,80132475,2023-02-06,2
125299,60075263,80132476,2023-02-02,2
125300,60076056,80133530,2023-02-15,2
125304,60076077,80133134,2023-02-07,2
125305,60023613,80133135,2023-02-07,2
125307,60075221,80132805,2023-02-07,2
125308,60075283,80132806,2023-02-07,2
125312,60076006,80132810,2023-02-08,2
125314,60075527,80131899,2023-02-05,2
125316,60075602,80131901,2023-01-28,3
125322,60074534,80133138,2023-02-07,2
125323,60071425,80133139,2023-02-10,2
125325,60075279,80132811,2023-02-06,2
125327,60075885,80132813,2023-02-07,2
125329,60074831,80132815,2023-02-06,2
125333,60076057,80132819,2023-02-16,2
125337,60076092,80132478,2023-02-02,2
125338,60075520,80132479,2023-02-06,2
125340,60073864,80132481,2023-02-09,2
125343,60075116,80131904,2023-01-18,3
125344,60075898,80133141,2023-02-21,2
125345,60075332,80133142,2023-02-07,2
125348,60074534,80133145,2023-02-07,2
125349,60076327,80133539,2023-02-20,2
125350,60076275,80133540,2023-02-20,2
125352,60074407,80133146,2023-02-07,2
125353,60075619,80133148,2023-02-10,2
125354,60075354,80133149,2023-02-10,2
125356,60075745,80133151,2023-02-07,2
125358,60075196,80133153,2023-02-09,2
125359,60075332,80133154,2023-02-08,2
125361,60074396,80132482,2023-02-02,2
125362,60075669,80132483,2023-02-06,2
125363,60075686,80132484,2023-02-06,2
125364,60075262,80132485,2023-02-01,2
125365,60075400,80132486,2023-02-02,2
125366,60076167,80133156,2023-02-09,2
125368,60075357,80133157,2023-02-07,2
125369,60074407,80133158,2023-02-07,2
125372,60076123,80132825,2023-02-07,2
125373,60076051,80132826,2023-02-07,2
125374,60075850,80133542,2023-02-15,2
125377,60075938,80133545,2023-02-15,2
125378,60076223,80133546,2023-02-20,2
125380,60075715,80133549,2023-02-27,2
125384,60075857,80133160,2023-02-14,2
125386,60075857,80133161,2023-02-14,2
125389,60076075,80133557,2023-02-18,2
125390,60044845,80133558,2023-02-14,2
125396,60076162,80133559,2023-02-18,2
125413,60076056,80133567,2023-02-15,2
125414,60076102,80133568,2023-02-15,2
125415,60074119,80133569,2023-02-17,2
125416,60075326,80131905,2023-02-13,2
125419,60075558,80131908,2023-02-10,2
125421,60075067,80131910,2023-01-27,3
125423,60075800,80132489,2023-02-02,2
125425,60074396,80132491,2023-02-02,2
125426,60075263,80132492,2023-02-01,2
125427,60075995,80132493,2023-02-06,2
125429,60074600,80132840,2023-02-09,2
125430,60076140,80132841,2023-02-06,2
125432,60075061,80132844,2023-02-07,2
125433,60076096,80133570,2023-02-18,2
125436,60075602,80131912,2023-01-28,3
125438,60075197,80131914,2023-02-02,2
125439,60059672,80131915,2023-01-17,3
125441,60059672,80131917,2023-01-17,3
125442,60059672,80131918,2023-01-17,3
125447,60075778,80131923,2023-01-18,3
125449,60074546,80131925,2023-02-04,2
125450,60075926,80131926,2023-01-19,3
125451,60075926,80131927,2023-01-19,3
125452,60075183,80132494,2023-02-01,2
125454,60074125,80132496,2023-02-06,2
125455,60075692,80132497,2023-02-08,2
125456,60074496,80132498,2023-02-02,2
125457,60075692,80132499,2023-02-08,2
125458,60073069,80132500,2023-02-02,2
125462,60076117,80132850,2023-02-06,2
125463,60076117,80132851,2023-02-06,2
125464,60073244,80132852,2023-02-10,2
125465,60074599,80132853,2023-02-09,2
125467,60075308,80132502,2023-02-07,2
125471,60075196,80133162,2023-02-09,2
125474,60076075,80133576,2023-02-19,2
125476,60075899,80133578,2023-02-21,2
125477,60075244,80132854,2023-02-10,2
125478,60075172,80132855,2023-02-08,2
125481,60075172,80132859,2023-02-08,2
125484,60012280,80132862,2023-02-10,2
125487,60074719,80131930,2023-01-29,3
125488,60074546,80131931,2023-02-04,2
125494,60074119,80133579,2023-02-17,2
125496,60075874,80133581,2023-02-21,2
125498,60075686,80133583,2023-02-21,2
125500,60074546,80131934,2023-02-06,2
125501,60074546,80131935,2023-02-04,2
125504,60075441,80132509,2023-02-06,2
125505,60075687,80132868,2023-02-06,2
125511,60076102,80133589,2023-02-15,2
125512,60074119,80133590,2023-02-27,2
125513,60076102,80133591,2023-02-15,2
125514,60075806,80133592,2023-02-20,2
125515,60076160,80133593,2023-02-21,2
125516,60075878,80133594,2023-02-21,2
125520,60075928,80133599,2023-02-15,2
125522,60075597,80131937,2023-02-02,2
125524,60059672,80131939,2023-01-30,3
125528,60074932,80132513,2023-02-05,2
125530,60069080,80133163,2023-02-13,2
125535,60075818,80133602,2023-02-15,2
125541,60075527,80131947,2023-02-27,2
125543,60075810,80133607,2023-02-16,2
125544,60074154,80131948,2023-01-30,3
125548,60076030,80133168,2023-02-25,2
125549,60075972,80133169,2023-02-10,2
125550,60076076,80133170,2023-02-08,2
125554,60074666,80132869,2023-02-08,2
125555,60075579,80132870,2023-02-07,2
125558,60075521,80131953,2023-02-05,2
125561,60076074,80133173,2023-02-08,2
125562,60075198,80133174,2023-02-08,2
125563,60075198,80133175,2023-02-08,2
125564,60075357,80133176,2023-02-08,2
125565,60075629,80133177,2023-02-09,2
125567,60075878,80132517,2023-02-06,2
125569,60074496,80132519,2023-02-02,2
125570,60075920,80132520,2023-02-21,2
125572,60076006,80132873,2023-02-08,2
125575,60075954,80132876,2023-02-06,2
125578,60075099,80131958,2023-01-28,3
125579,60074719,80131959,2023-01-29,3
125581,60076076,80133180,2023-02-08,2
125584,60075920,80132521,2023-02-08,2
125586,60076099,80132523,2023-02-09,2
125587,60075501,80132524,2023-02-06,2
125593,60075815,80131961,2023-01-18,3
125595,60075642,80131963,2023-01-30,3
125597,60075747,80132526,2023-02-02,2
125599,60074945,80132528,2023-02-02,2
125602,60075421,80132881,2023-02-08,2
125603,60075492,80131964,2023-01-31,3
125605,60070128,80131966,2023-01-31,3
125607,60075689,80131968,2023-01-31,3
125608,60076091,80132529,2023-02-03,2
125611,60076102,80132882,2023-02-07,2
125612,60069836,80132883,2023-02-06,2
125613,60073026,80132884,2023-02-06,2
125614,60076124,80132885,2023-02-06,2
125615,60076136,80132886,2023-02-10,2
125617,60076102,80132888,2023-02-14,2
125619,60075747,80132530,2023-02-02,2
125620,60076059,80132531,2023-02-09,2
125621,60075400,80132532,2023-02-02,2
125622,60074142,80132533,2023-02-03,2
125623,60075517,80132534,2023-02-06,2
125626,60073866,80131971,2023-01-19,3
125627,60075407,80131972,2023-01-30,3
125630,60075492,80133188,2023-02-09,2
125631,60076074,80133189,2023-02-08,2
125636,60074125,80132535,2023-02-06,2
125637,60074688,80131973,2023-01-19,3
125638,60074116,80131974,2023-01-19,3
125641,60075844,80131978,2023-01-31,3
125643,60075510,80133192,2023-02-08,2
125644,60075629,80133193,2023-02-09,2
125646,60075806,80133610,2023-02-19,2
125649,60076117,80133613,2023-02-17,2
125651,60075621,80132893,2023-02-07,2
125652,60076102,80132894,2023-02-07,2
125653,60038082,80132895,2023-02-06,2
125656,60076201,80133197,2023-02-09,2
125661,60076125,80132898,2023-02-06,2
125662,60075687,80132900,2023-02-06,2
125664,60075587,80132902,2023-02-21,2
125666,60076102,80132904,2023-02-07,2
125667,60074214,80132906,2023-02-05,2
125669,60075961,80132908,2023-02-06,2
125670,60076117,80133615,2023-02-17,2
125671,60076124,80133616,2023-02-15,2
125676,60076050,80132539,2023-02-02,2
125679,60075505,80131980,2023-01-30,3
125680,60074688,80131981,2023-01-19,3
125681,60075262,80131982,2023-01-30,3
125682,60075351,80131983,2023-02-03,2
125683,60074412,80132909,2023-02-05,2
125691,60075545,80133622,2023-02-16,2
125693,60074142,80132543,2023-02-03,2
125695,60075938,80133201,2023-02-09,2
125696,60075661,80133202,2023-02-08,2
125698,60075583,80133204,2023-02-08,2
125700,60075510,80133206,2023-02-09,2
125701,60074765,80133207,2023-02-09,2
125707,60074741,80131985,2023-01-30,3
125708,60075262,80131986,2023-01-30,3
125709,60076058,80132544,2023-02-09,2
125711,60076082,80132546,2023-02-09,2
125715,60076102,80132920,2023-02-07,2
125716,60075163,80132921,2023-03-10,1
125718,60075805,80133624,2023-02-16,2
125719,60075653,80133625,2023-02-27,2
125722,60076103,80133628,2023-02-15,2
125725,60075938,80133211,2023-02-09,2
125726,60076088,80132923,2023-02-07,2
125729,60074977,80132926,2023-02-15,2
125734,60076071,80132553,2023-02-02,2
125737,60075810,80133631,2023-02-18,2
125739,60074666,80133633,2023-02-18,2
125740,60075000,80131987,2023-01-31,3
125741,60074142,80131988,2023-02-13,2
125743,60074142,80131990,2023-02-13,2
125745,60075974,80132927,2023-02-07,2
125746,60075463,80132928,2023-02-08,2
125752,60025381,80132559,2023-02-02,2
125755,60075802,80133636,2023-02-16,2
125756,60076103,80133637,2023-02-15,2
125757,60075805,80133638,2023-02-15,2
125758,60076103,80133639,2023-02-15,2
125762,60075494,80132932,2023-02-09,2
125764,60074765,80133213,2023-02-09,2
125770,60074761,80132933,2023-02-05,2
125773,60074111,80132936,2023-02-10,2
125776,60075559,80133217,2023-02-13,2
125777,60076177,80133218,2023-02-09,2
125780,60075844,80132939,2023-02-25,2
125782,60075351,80132941,2023-02-05,2
125785,60075434,80132562,2023-02-06,2
125788,60075434,80132565,2023-02-06,2
125789,60075345,80132566,2023-02-06,2
125790,60075344,80132567,2023-02-06,2
125795,60076035,80133643,2023-02-20,2
125798,60074087,80132944,2023-02-15,2
125800,60075549,80133220,2023-02-18,2
125801,60075926,80133221,2023-02-09,2
125802,60075876,80133222,2023-02-15,2
125803,60075876,80133223,2023-02-15,2
125805,60025381,80132571,2023-02-18,2
125808,60070720,80132948,2023-02-10,2
125813,60076103,80133646,2023-02-15,2
125817,60075816,80133224,2023-02-15,2
125818,60075816,80133225,2023-02-15,2
125820,60076035,80133650,2023-02-27,2
125822,60076117,80133653,2023-02-17,2
125832,60074214,80132953,2023-02-05,2
125837,60075951,80132574,2023-02-02,2
125844,60075095,80132006,2023-02-03,2
125848,60074216,80133229,2023-02-15,2
125856,60076113,80132576,2023-02-08,2
125863,60076100,80133660,2023-02-15,2
125866,60075793,80132961,2023-02-08,2
125867,60076108,80132962,2023-02-07,2
125869,60075358,80132964,2023-02-07,2
125870,60075923,80132965,2023-02-06,2
125878,60075236,80132014,2023-01-30,3
125889,60075268,80133241,2023-02-10,2
125900,60075268,80133245,2023-02-10,2
125901,60075268,80133246,2023-02-10,2
125902,60075730,80133247,2023-02-09,2
125903,60076108,80133248,2023-02-15,2
125904,60076108,80133249,2023-02-14,2
125905,60076100,80133663,2023-02-15,2
125906,60076102,80133665,2023-02-15,2
125907,60076103,80133666,2023-02-15,2
125908,60075636,80133667,2023-02-23,2
125913,60075975,80132972,2023-02-07,2
125915,60075898,80133847,2023-02-21,2
125917,60074495,80133849,2023-02-21,2
125921,60076108,80133251,2023-02-14,2
125922,60076108,80133252,2023-02-14,2
125936,60076193,80133860,2023-02-27,2
125937,60075105,80133861,2023-02-20,2
125943,60075549,80133670,2023-02-17,2
125944,60076100,80133671,2023-02-15,2
125946,60074550,80133673,2023-02-18,2
125950,60074686,80133864,2023-02-17,2
125957,60075010,80133678,2023-02-17,2
125959,60075744,80132976,2023-02-09,2
125968,60075604,80133680,2023-02-22,2
125969,60075604,80133681,2023-02-21,2
125970,60069360,80133682,2023-02-17,2
125971,60076241,80133683,2023-02-15,2
125972,60038924,80133684,2023-02-19,2
125973,60074543,80132980,2023-02-21,2
125974,60075419,80132982,2023-02-09,2
125982,60076088,80132983,2023-02-07,2
125985,60074809,80132986,2023-02-07,2
125986,60075410,80132987,2023-02-15,2
125989,60075667,80133688,2023-02-15,2
125996,60075498,80133695,2023-02-25,2
125999,60076242,80133698,2023-02-15,2
126004,60029166,80133704,2023-02-17,2
126006,60075518,80133706,2023-02-19,2
126007,60073443,80132991,2023-02-06,2
126008,60070793,80132992,2023-02-10,2
126012,60074543,80132996,2023-02-07,2
126015,60075545,80133708,2023-02-25,2
126017,60076054,80133710,2023-02-16,2
126018,60075498,80133711,2023-02-25,2
126020,60074688,80133713,2023-02-17,2
126021,60076045,80133714,2023-02-17,2
126022,60076045,80133715,2023-02-17,2
126023,60075667,80133716,2023-02-15,2
126024,60076362,80133870,2023-02-18,2
126027,60075849,80133719,2023-03-04,1
126034,60076088,80133004,2023-02-07,2
126036,60076125,80133006,2023-02-06,2
126037,60076088,80133007,2023-02-07,2
126040,60074734,80133010,2023-02-27,2
126042,60074543,80133012,2023-02-21,2
126045,60075687,80132595,2023-02-06,2
126047,60076106,80132597,2023-02-06,2
126049,60075239,80132599,2023-02-02,2
126053,60074483,80132603,2023-02-02,2
126054,60069096,80132604,2023-02-07,2
126055,60075764,80132605,2023-02-07,2
126058,60076088,80132608,2023-02-06,2
126059,60076088,80132609,2023-02-06,2
126066,60075382,80133878,2023-02-19,2
126067,60076088,80132610,2023-02-06,2
126068,60076088,80132611,2023-02-06,2
126069,60075231,80132612,2023-02-06,2
126070,60076088,80132613,2023-02-06,2
126071,60076006,80132614,2023-02-08,2
126074,60076006,80132617,2023-02-08,2
126075,60076006,80132618,2023-02-08,2
126076,60074688,80133722,2023-02-17,2
126077,60076217,80133723,2023-02-27,2
126078,60076219,80133724,2023-02-26,2
126084,60076137,80133020,2023-02-11,2
126089,60075163,80133271,2023-02-19,2
126092,60075234,80133880,2023-02-22,2
126094,60076006,80132619,2023-02-08,2
126097,60075281,80133883,2023-02-22,2
126101,60074808,80133887,2023-02-21,2
126103,60075518,80133726,2023-02-21,2
126109,60076145,80133273,2023-02-10,2
126112,60076100,80133024,2023-02-07,2
126114,60075987,80133727,2023-02-27,2
126115,60075549,80133729,2023-02-20,2
126119,60074498,80133892,2023-02-21,2
126124,60075689,80133732,2023-02-19,2
126125,60075549,80133733,2023-02-20,2
126126,60075689,80133734,2023-02-19,2
126129,60076030,80133276,2023-02-09,2
126132,60074762,80133026,2023-02-14,2
126133,60076014,80133027,2023-02-06,2
126135,60010010,80133893,2023-02-21,2
126136,60010010,80133894,2023-02-21,2
126142,60075989,80132632,2023-02-02,2
126143,60074543,80133031,2023-02-21,2
126144,60026306,80133736,2023-02-21,2
126145,60075778,80133737,2023-02-17,2
126146,60075766,80133738,2023-02-16,2
126149,60075988,80132633,2023-02-02,2
126150,60075658,80132634,2023-02-02,2
126151,60074595,80132635,2023-02-08,2
126153,60075980,80132637,2023-02-14,2
126156,60075778,80133740,2023-02-16,2
126157,60075766,80133741,2023-02-16,2
126159,60075766,80133743,2023-02-19,2
126163,60075689,80133747,2023-02-19,2
126164,60076209,80133748,2023-02-24,2
126166,60076102,80133033,2023-02-07,2
126169,60075886,80133036,2023-02-08,2
126174,60076247,80133898,2023-02-23,2
126175,60075146,80133900,2023-02-28,2
126176,60076247,80133901,2023-02-22,2
126179,60076220,80133904,2023-02-25,2
126181,60075074,80133288,2023-02-15,2
126190,60075798,80132644,2023-02-07,2
126194,60075725,80133038,2023-02-08,2
126195,60075374,80133039,2023-02-07,2
126199,60074666,80133907,2023-02-27,2
126203,60076231,80133755,2023-02-18,2
126209,60075827,80132649,2023-02-07,2
126214,60075821,80132651,2023-02-06,2
126216,60075825,80132653,2023-02-07,2
126218,60075809,80132655,2023-02-20,2
126219,60075782,80132656,2023-02-06,2
126220,60076247,80133911,2023-02-27,2
126224,60039572,80133915,2023-02-20,2
126225,60074111,80133916,2023-02-25,2
126229,60039572,80133045,2023-02-14,2
126240,60074550,80133048,2023-02-13,2
126241,60074543,80133049,2023-02-21,2
126242,60073752,80133050,2023-02-06,2
126243,60075459,80133051,2023-02-11,2
126246,60073306,80133054,2023-02-08,2
126247,60076148,80133055,2023-02-07,2
126249,60076141,80133058,2023-02-07,2
126250,60073306,80133059,2023-02-08,2
126252,60075213,80133061,2023-02-23,2
126254,60076141,80133063,2023-02-07,2
126255,60076148,80133064,2023-02-07,2
126256,60073255,80133066,2023-02-20,2
126257,60073255,80133067,2023-02-07,2
126259,60073255,80133070,2023-02-07,2
126262,60073330,80133071,2023-02-07,2
126263,60075573,80133074,2023-02-10,2
126264,60075573,80133075,2023-02-13,2
126266,60073831,80133078,2023-02-23,2
126273,60076263,80133917,2023-02-24,2
126275,60059606,80133919,2023-03-03,1
126276,60074577,80133089,2023-02-07,2
126277,60069067,80133090,2023-02-13,2
126278,60073255,80133091,2023-02-14,2
126279,60075704,80133092,2023-02-15,2
126286,60074739,80133765,2023-02-27,2
126287,60076208,80133766,2023-02-24,2
126292,60060797,80133302,2023-02-19,2
126295,60075993,80133923,2023-02-21,2
126297,60074155,80133925,2023-02-22,2
126299,60074125,80133928,2023-02-25,2
126300,60075861,80133771,2023-02-20,2
126302,60075987,80133773,2023-02-27,2
126304,60076065,80133775,2023-02-18,2
126312,60074514,80133306,2023-02-13,2
126319,60075353,80133931,2023-02-23,2
126320,60075603,80133932,2023-02-22,2
126323,60075857,80133103,2023-02-14,2
126326,60075788,80132663,2023-02-07,2
126327,60075787,80132664,2023-02-08,2
126328,60076088,80132665,2023-02-06,2
126329,60075792,80132666,2023-02-08,2
126330,60075783,80132667,2023-02-07,2
126331,60074590,80132668,2023-02-05,2
126332,60059672,80133311,2023-02-11,2
126333,60075912,80133312,2023-02-20,2
126334,60075817,80133313,2023-02-20,2
126335,60075877,80133314,2023-02-20,2
126337,60075463,80133778,2023-02-26,2
126339,60075602,80133933,2023-02-22,2
126340,60075602,80133934,2023-02-22,2
126341,60076430,80133936,2023-02-23,2
126343,60076124,80133107,2023-02-07,2
126346,60074826,80132669,2023-02-07,2
126347,60076088,80132670,2023-02-06,2
126348,60070796,80132671,2023-02-10,2
126350,60076102,80132673,2023-02-06,2
126352,60074514,80133780,2023-02-21,2
126357,60005807,80133112,2023-02-07,2
126358,60005807,80133113,2023-02-07,2
126361,60075938,80133939,2023-02-21,2
126362,60075877,80133315,2023-02-21,2
126363,60075835,80133316,2023-02-16,2
126364,60075808,80133317,2023-02-16,2
126365,60075835,80133318,2023-02-15,2
126366,60075836,80133319,2023-02-16,2
126367,60075582,80133320,2023-02-13,2
