,Issuing Agent,Policy No,CUTOFF,Count_Policy
236079,60073399,80132282,20230131,1
236080,60067636,80132510,20230131,1
236136,60015415,80053429,20230131,0
236140,60070984,80131118,20230131,1
236152,60072388,80131727,20230131,1
236588,60026142,80059256,20230131,0
236589,60021049,80055216,20230131,0
236591,60072373,80132716,20230131,1
236593,60065271,80131977,20230131,1
236596,60075908,80132152,20230131,1
236597,60024240,80070294,20230131,0
236603,60042773,80131952,20230131,1
236642,60024058,80054544,20230131,0
236782,60023071,80052346,20230131,0
236783,60037693,80072677,20230131,0
236784,60073401,80133016,20230131,1
236790,60069367,80132260,20230131,1
236791,60009928,80019908,20230131,0
236793,60056290,80132055,20230131,1
236794,60005897,80132237,20230131,1
236798,60069543,80132293,20230131,1
236836,60075410,80132974,20230131,1
236841,60038011,80095209,20230131,0
236842,60076006,80132614,20230131,1
236848,60014332,80033977,20230131,0
236849,60074141,80132119,20230131,1
236851,60056176,80132163,20230131,1
236902,60024649,80085327,20230131,0
236940,60025217,80088865,20230131,0
239339,60029549,80070048,20230131,0
239345,60012281,80019425,20230131,0
239346,60017375,80038319,20230131,0
239358,60074674,80131892,20230131,1
239364,60027943,80067432,20230131,0
239365,60055010,80100057,20230131,0
239440,60058969,80129714,20230131,-1
239441,60030620,80096432,20230131,0
239449,60016602,80034657,20230131,0
239465,60071401,80133023,20230131,1
239468,60041662,80130352,20230131,1
239470,60031386,80101591,20230131,0
239472,60023451,80055642,20230131,0
239473,60075311,80132536,20230131,-1
239479,60016432,80034436,20230131,0
239480,60053352,80102176,20230131,0
239481,60010418,80017459,20230131,0
239483,60034313,80072903,20230131,0
239485,60033961,80071777,20230131,0
239490,60074546,80131931,20230131,1
239496,60038818,80131307,20230131,1
239507,60064987,80114301,20230131,0
239517,60071341,80132256,20230131,1
239519,60076102,80132920,20230131,1
239521,60075311,80132536,20230131,1
239577,60068333,80129210,20230131,0
239578,60070061,80132432,20230131,1
239582,60075262,80132485,20230131,1
239592,60005229,80047042,20230131,0
239701,60075400,80132486,20230131,1
239705,60076015,80132080,20230131,1
239711,60005987,80009046,20230131,0
239752,60060841,80115376,20230131,0
243764,60074983,80131697,20230131,-1
243820,60022773,80055705,20230131,0
243821,60028442,80069539,20230131,0
243947,60026222,80058768,20230131,0
243948,60032916,80100112,20230131,0
243949,60022460,80055660,20230131,0
243956,60016512,80029959,20230131,0
243962,60075725,80133038,20230131,1
244069,60053274,80098513,20230131,0
244070,60071868,80132418,20230131,1
244071,60033545,80132548,20230131,1
244078,60022306,80071833,20230131,0
244141,60035303,80071293,20230131,0
244143,60074125,80132496,20230131,1
244145,60071341,80132846,20230131,1
244153,60076102,80133033,20230131,1
244155,60070706,80132631,20230131,1
244338,60075839,80132026,20230131,1
244342,60026857,80072450,20230131,0
244416,60075268,80131749,20230131,1
247141,60035374,80072629,20230131,0
247144,60029413,80098997,20230131,0
247145,60061600,80130382,20230131,-1
247154,60055939,80131758,20230131,1
247157,60075583,80131827,20230131,1
247211,60074412,80132706,20230131,1
247216,60011147,80016823,20230131,0
247219,60012163,80019361,20230131,0
247224,60052315,80102203,20230131,0
247226,60005648,80007866,20230131,0
247227,60017827,80036501,20230131,0
247228,60022665,80055696,20230131,0
247301,60075558,80131908,20230131,1
247302,60025011,80098202,20230131,0
247306,60055955,80115385,20230131,0
247307,60052247,80099424,20230131,0
247310,60024273,80072647,20230131,0
247315,60075808,80132397,20230131,1
247374,60060797,80132800,20230131,1
247375,60076123,80132825,20230131,1
247377,60068108,80133060,20230131,1
247513,60010925,80017160,20230131,0
247515,60055451,80101907,20230131,0
252556,60007113,80009505,20230131,0
255873,60059672,80131478,20230131,1
257359,60028684,80071186,20230131,0
262288,60009874,80016541,20230131,0
262290,60076125,80133006,20230131,1
262372,60075427,80131439,20230131,1
262373,60059869,80132504,20230131,1
262377,60059153,80131809,20230131,1
262378,60055110,80101003,20230131,0
262379,60010819,80017252,20230131,0
262380,60075406,80131863,20230131,1
262381,60018139,80035828,20230131,0
262443,60007104,80009420,20230131,0
262449,60031973,80072656,20230131,0
262450,60075427,80131439,20230131,0
262456,60030762,80072595,20230131,0
262458,60018485,80055687,20230131,0
262511,60075689,80131968,20230131,1
262514,60032887,80067522,20230131,0
262523,60021151,80055680,20230131,0
262568,60015683,80055850,20230131,0
262574,60054695,80102776,20230131,0
262609,60073408,80132339,20230131,1
262613,60075262,80131986,20230131,1
262704,60067627,80132362,20230131,1
262715,60071341,80132235,20230131,1
262799,60075092,80132120,20230131,1
265564,60011880,80018790,20230131,0
265567,60018115,80054951,20230131,0
265568,60043784,80081981,20230131,0
265574,60015089,80037129,20230131,0
265608,60001894,80008007,20230131,0
265613,60011880,80018786,20230131,0
265614,60017833,80032899,20230131,0
265615,60033361,80072482,20230131,0
265616,60023490,80055723,20230131,0
265617,60037693,80072672,20230131,0
265627,60036079,80102589,20230131,0
265683,60076088,80132608,20230131,1
265685,60075923,80132965,20230131,1
265686,60075345,80132566,20230131,1
268966,60035194,80070450,20230131,0
274338,60032741,80066750,20230131,0
275422,60070720,80131453,20230131,1
275425,60075880,80132802,20230131,1
275478,69999997,80072097,20230131,0
275526,60018353,80041970,20230131,0
275527,60042341,80127187,20230131,-1
275568,60035743,80098326,20230131,0
275572,60071674,80129484,20230131,0
275619,60031422,80071001,20230131,0
275634,60017785,80033753,20230131,0
275670,60068331,80133013,20230131,1
275675,60073059,80132325,20230131,1
275676,60033700,80132827,20230131,1
275679,60074490,80132037,20230131,1
275680,60017429,80034353,20230131,0
275686,60073093,80126964,20230131,-1
275710,60024325,80055886,20230131,0
277624,60076006,80132810,20230131,1
277626,60071312,80132821,20230131,1
277849,60017375,80038321,20230131,0
277850,60046054,80087622,20230131,0
277851,60071142,80131595,20230131,1
277892,60022591,80055638,20230131,0
277895,60032705,80072951,20230131,0
277921,60050752,80096273,20230131,0
277929,60037406,80072671,20230131,0
277931,60038502,80076284,20230131,0
277948,60073049,80132766,20230131,1
277949,60055010,80132889,20230131,1
277983,60026119,80067112,20230131,0
277995,60017267,80035937,20230131,0
278034,60011220,80018375,20230131,0
278039,60017835,80033166,20230131,0
278078,60006677,80042734,20230131,0
278079,60037520,80072523,20230131,0
278080,60022576,80060132,20230131,0
278087,60023164,80055102,20230131,0
278088,60015449,80055611,20230131,0
278090,60036167,80071309,20230131,0
278095,60016048,80068466,20230131,0
278099,60027248,80071553,20230131,0
278105,60032285,80068611,20230131,0
278189,60055035,80100153,20230131,0
278196,60036676,80071865,20230131,0
278197,60013628,80025270,20230131,0
278198,60075653,80132429,20230131,1
278199,60032697,80073106,20230131,0
278202,60016286,80132310,20230131,1
278209,60046253,80098155,20230131,0
278250,60031840,80072686,20230131,0
278258,60038818,80131307,20230131,-1
278259,60023917,80055274,20230131,0
278261,60022140,80053614,20230131,0
278265,60006743,80009537,20230131,0
278285,60034691,80071991,20230131,0
278289,60030817,80067656,20230131,0
278292,60054478,80132185,20230131,1
278301,60021657,80052508,20230131,0
278461,60002642,80003805,20230131,0
278462,60015906,80037604,20230131,0
278463,60050232,80132506,20230131,1
278468,60031596,80068298,20230131,0
278472,60059146,80131994,20230131,1
278616,60057342,80132722,20230131,1
278621,60036079,80102631,20230131,0
280173,60054103,80099117,20230131,0
280178,60039140,80103157,20230131,0
280180,60046600,80098484,20230131,0
280182,60008350,80019451,20230131,0
280183,60072567,80131942,20230131,1
280275,60027982,80084213,20230131,0
280276,60073859,80132410,20230131,1
280279,60072787,80132998,20230131,1
280281,60075390,80132328,20230131,1
280285,60057335,80132555,20230131,1
280286,60022274,80072209,20230131,0
280290,60074130,80132356,20230131,1
280292,60043308,80088802,20230131,0
280351,60012433,80019590,20230131,0
280352,60028959,80072074,20230131,0
280359,60036220,80096512,20230131,0
280437,60001094,80001928,20230131,0
281096,60021782,80055330,20230131,0
281236,60035829,80070353,20230131,0
281241,60031222,80072303,20230131,0
281243,60032485,80066558,20230131,0
281717,60032818,80102100,20230131,0
281782,60074710,80131897,20230131,1
281785,60033318,80067905,20230131,0
281786,60071939,80132963,20230131,1
281789,60047405,80131617,20230131,1
281892,60019105,80101654,20230131,0
282025,60075863,80131736,20230131,1
282026,60023084,80067909,20230131,0
282803,60003871,80017225,20230131,0
285111,60012048,80020651,20230131,0
285114,60075974,80132927,20230131,1
285224,60075958,80132077,20230131,1
285226,60075870,80132093,20230131,1
285227,60073437,80132556,20230131,1
288350,60055194,80131461,20230131,1
288356,60013725,80029674,20230131,0
288357,60033602,80071931,20230131,0
288364,60031915,80071899,20230131,0
288473,60027268,80061526,20230131,0
288475,60028297,80068675,20230131,0
288564,60056974,80131874,20230131,1
288565,60024050,80055885,20230131,0
288572,60072386,80131581,20230131,1
288632,60050927,80132011,20230131,1
288636,60019178,80037028,20230131,0
288639,60026018,80073152,20230131,0
288643,60075911,80132178,20230131,1
288877,60011225,80019607,20230131,0
288878,60073734,80132336,20230131,1
288879,60016711,80036506,20230131,0
288880,60006250,80008573,20230131,0
288882,60075791,80132392,20230131,1
288885,60041775,80102232,20230131,0
288888,60075358,80132964,20230131,1
288890,60071971,80132269,20230131,1
288955,60029951,80067870,20230131,0
288963,60066840,80130394,20230131,0
289086,60055194,80131461,20230131,-1
289307,60075545,80131503,20230131,1
292255,60017439,80031881,20230131,0
299283,60039715,80099422,20230131,0
299284,60011915,80019895,20230131,0
301786,60075597,80131937,20230131,1
301788,60031969,80132042,20230131,1
301789,60011294,80132060,20230131,1
301790,60022448,80054515,20230131,0
301791,60017518,80036002,20230131,0
301792,60075174,80132032,20230131,1
301795,60053309,80097427,20230131,0
301796,60075911,80132164,20230131,1
301800,60040769,80082097,20230131,0
301818,60020956,80044322,20230131,0
301820,60017616,80037150,20230131,0
301943,60067127,80131856,20230131,1
301945,60071080,80132648,20230131,1
307620,60046392,80096010,20230131,0
313447,60026425,80097517,20230131,0
317492,60016991,80099296,20230131,0
317498,60057331,80132089,20230131,1
317908,60022677,80055332,20230131,0
317913,60075421,80132881,20230131,1
318118,60045818,80102123,20230131,0
318120,60031179,80096306,20230131,0
318121,60022763,80055902,20230131,0
318125,60074756,80131588,20230131,1
318131,60038402,80082274,20230131,0
318153,60046151,80086751,20230131,0
318240,60012619,80132951,20230131,1
318267,60056750,80131125,20230131,-1
319963,60032803,80066991,20230131,0
320020,60073257,80131852,20230131,1
320023,60008637,80013319,20230131,0
320024,60012789,80025908,20230131,0
320026,60071341,80132251,20230131,1
320030,60040261,80132312,20230131,1
320035,60021768,80053851,20230131,0
320036,60038641,80132820,20230131,1
320077,60011946,80018355,20230131,0
320088,60076031,80132109,20230131,1
320089,60074546,80131935,20230131,1
320201,60052055,80096622,20230131,0
320209,60068274,80131602,20230131,1
320212,60071801,80132903,20230131,1
320215,60075447,80131355,20230131,-1
320238,60067224,80130931,20230131,-1
320417,60043722,80082291,20230131,0
320421,60022764,80095892,20230131,0
320424,60037579,80098456,20230131,0
320607,60024816,80060754,20230131,0
320646,60023752,80054076,20230131,0
320707,60024104,80054927,20230131,0
320717,60020717,80052602,20230131,0
320718,60051178,80095929,20230131,0
323084,60046818,80099055,20230131,0
323087,60022161,80051775,20230131,0
323088,60032318,80066822,20230131,0
323089,60007719,80009194,20230131,0
323090,60054895,80101686,20230131,0
323259,60011752,80053559,20230131,0
323262,60023317,80053952,20230131,0
323264,60034901,80081206,20230131,0
323282,60035254,80087323,20230131,0
323283,60009496,80018231,20230131,0
323284,60031817,80071343,20230131,0
323289,60015249,80037232,20230131,0
323291,60017597,80033772,20230131,0
323295,60023122,80052620,20230131,0
323297,60058129,80131530,20230131,1
323355,60075196,80131464,20230131,1
323358,60006993,80009590,20230131,0
323364,60031440,80071015,20230131,0
323365,60018144,80055824,20230131,0
323367,60041174,80085806,20230131,0
323415,60071565,80132742,20230131,1
323416,60031789,80069567,20230131,0
323478,60044938,80100366,20230131,0
323484,60017373,80038347,20230131,0
323486,60026644,80072503,20230131,0
323545,60017468,80033591,20230131,0
323546,60008691,80013294,20230131,0
323549,60071501,80132995,20230131,1
323552,60075734,80132041,20230131,1
323555,60011582,80017664,20230131,0
323689,60004486,80083375,20230131,0
326713,60031212,80096712,20230131,0
326716,60042781,80100368,20230131,0
328400,60009566,80019736,20230131,0
328401,60056959,80131866,20230131,1
328456,60075783,80132667,20230131,1
328460,60071012,80131441,20230131,1
328468,60072780,80131658,20230131,1
328561,60006509,80007383,20230131,0
328562,60010284,80017316,20230131,0
328563,60072387,80131659,20230131,1
328564,60013222,80055411,20230131,0
328567,60057391,80132717,20230131,1
328568,60021531,80055869,20230131,0
328569,60027839,80101503,20230131,0
328571,60075268,80131748,20230131,1
328573,60015628,80055613,20230131,0
328574,60029881,80067208,20230131,0
328700,60045676,80102197,20230131,0
328701,60073308,80132720,20230131,1
328705,60033109,80067642,20230131,0
328710,60016719,80034229,20230131,0
328711,60023744,80054247,20230131,0
328713,60073330,80133071,20230131,1
328752,60037553,80073551,20230131,0
328754,60028650,80069305,20230131,0
328765,60053528,80097436,20230131,0
328772,60023606,80055295,20230131,0
328823,60011775,80020110,20230131,0
328825,60023555,80053229,20230131,0
328827,60072514,80131017,20230131,0
328831,60010966,80017619,20230131,0
328878,60075447,80131403,20230131,-1
328889,60068158,80132942,20230131,1
330023,60032074,80072364,20230131,0
331668,60048611,80097945,20230131,0
331707,60016434,80033021,20230131,0
331715,60075636,80131616,20230131,1
331722,60055273,80100831,20230131,0
331803,60071964,80131883,20230131,1
331809,60059283,80131829,20230131,1
331900,60032824,80072896,20230131,0
331911,60046253,80126656,20230131,-1
331917,60013430,80023028,20230131,0
331954,60009817,80033796,20230131,0
331960,60050349,80094455,20230131,0
331961,60075778,80132294,20230131,1
331963,60067383,80132177,20230131,1
332004,60006949,80009460,20230131,0
332005,60022763,80052269,20230131,0
332448,60024325,80131843,20230131,1
333645,60058495,80131932,20230131,1
333647,60072795,80132832,20230131,1
333648,60019105,80102001,20230131,0
333650,60073323,80132101,20230131,1
333762,60071520,80132081,20230131,1
333763,60054549,80100811,20230131,0
333764,60022659,80060616,20230131,0
333769,60052756,80097257,20230131,0
333815,60040902,80127485,20230131,0
333818,60015587,80033751,20230131,0
333819,60014668,80026547,20230131,0
333823,60071425,80131802,20230131,1
333824,60055933,80131804,20230131,1
333825,60075821,80132651,20230131,1
337517,60035169,80072269,20230131,0
356593,60026501,80098425,20230131,0
356594,60072991,80131567,20230131,1
356603,60006589,80009450,20230131,0
356604,60031691,80068373,20230131,0
356631,60063857,80132748,20230131,1
356637,60072989,80131587,20230131,1
356638,60075410,80131650,20230131,1
356642,60030097,80072548,20230131,0
356643,60027443,80132822,20230131,1
356726,60070885,80133018,20230131,1
356730,60073255,80133065,20230131,1
356752,60036111,80096753,20230131,0
356753,60075351,80131983,20230131,1
356765,60057794,80131954,20230131,1
356822,60031207,80066901,20230131,0
361146,60074118,80131692,20230131,1
361254,60073093,80131502,20230131,1
361323,60037597,80072416,20230131,0
361330,60014569,80053753,20230131,0
361331,60069360,80131550,20230131,1
361332,60031386,80101605,20230131,0
361334,60005403,80030634,20230131,0
361455,60074809,80132986,20230131,1
361530,60067636,80132525,20230131,1
361534,60070486,80132661,20230131,1
361535,60014465,80132327,20230131,1
361543,60052990,80114459,20230131,0
361544,60008927,80017221,20230131,0
361546,60042375,80096579,20230131,0
361674,60073093,80131502,20230131,0
364315,60018994,80036701,20230131,0
364316,60004948,80009239,20230131,0
364318,60037340,80071995,20230131,0
364320,60015153,80026538,20230131,0
364355,60050824,80094004,20230131,0
364384,60024394,80071919,20230131,0
364410,60037008,80071999,20230131,0
364411,60008316,80011588,20230131,0
364451,60011691,80019782,20230131,0
364452,60011307,80019447,20230131,0
364454,60016983,80032333,20230131,0
364499,60075549,80131627,20230131,1
364503,60039193,80098970,20230131,0
364509,60018011,80033940,20230131,0
364541,60048242,80091194,20230131,0
364542,60024050,80055884,20230131,0
364543,60075054,80131881,20230131,1
364549,60075834,80131767,20230131,1
364675,60012054,80018996,20230131,0
364676,60055035,80101474,20230131,0
364725,60025571,80071360,20230131,0
364729,60074498,80131884,20230131,1
364766,60022216,80055080,20230131,0
364768,60028684,80067535,20230131,0
364771,60007528,80009318,20230131,0
364774,60067229,80132366,20230131,1
364830,60026021,80067618,20230131,0
364898,60075734,80131698,20230131,1
364901,60074686,80129679,20230131,0
364907,60029719,80067184,20230131,0
364911,60053126,80098114,20230131,0
364990,60037442,80072378,20230131,0
364992,60075293,80131679,20230131,1
365094,60068263,80131921,20230131,1
365216,60031223,80072273,20230131,0
365221,60041778,80102752,20230131,0
365282,60058447,80132583,20230131,1
365286,60044102,80098926,20230131,0
365287,60053613,80097826,20230131,0
365288,60008836,80019936,20230131,0
365292,69999993,80000222,20230131,0
365293,60019168,80037562,20230131,0
365296,60056936,80132358,20230131,1
365385,60055934,80103543,20230131,0
365389,60037507,80073103,20230131,0
365398,60012686,80020141,20230131,0
365400,60030034,80102868,20230131,0
365454,60074683,80132437,20230131,1
365456,60058064,80131004,20230131,0
365458,60053993,80132747,20230131,1
365463,60024808,80072291,20230131,0
365471,60074489,80132034,20230131,1
365512,60033597,80071725,20230131,0
365518,60015249,80041800,20230131,0
365519,60075879,80132103,20230131,1
365593,60016467,80037098,20230131,0
365603,60053972,80132059,20230131,1
367801,60044722,80087691,20230131,0
367885,60036999,80071198,20230131,0
367890,60067718,80131655,20230131,1
367894,60016003,80037437,20230131,0
367957,60055929,80131552,20230131,1
367959,60032287,80067601,20230131,0
367964,60033967,80072207,20230131,0
368041,60070740,80132709,20230131,1
368044,60055940,80131992,20230131,1
368048,60071711,80131998,20230131,1
368051,60068331,80132220,20230131,1
368075,60032592,80067631,20230131,0
368197,60059617,80129169,20230131,-1
368205,60032911,80073065,20230131,0
368210,60021036,80045874,20230131,0
368299,60075799,80132448,20230131,1
368304,60041658,80132470,20230131,1
369965,60008928,80131455,20230131,1
370004,60015399,80036615,20230131,0
370005,60053972,80100818,20230131,0
370010,60018546,80035018,20230131,0
370014,60028650,80086360,20230131,0
370109,60037014,80071759,20230131,0
370112,60075510,80131527,20230131,1
370117,60075642,80131847,20230131,1
370215,60075549,80131693,20230131,1
370224,60056020,80102633,20230131,0
370225,60031366,80071834,20230131,0
370305,60057290,80131625,20230131,1
370313,60024038,80054461,20230131,0
370314,60031229,80071385,20230131,0
370353,60037657,80072916,20230131,0
370354,60070884,80133046,20230131,1
370359,60062355,80115884,20230131,0
370360,60007113,80009254,20230131,0
370361,60046238,80128995,20230131,-1
370421,60037647,80099474,20230131,0
370424,60059355,80131967,20230131,1
370429,60056999,80131781,20230131,1
370431,60010828,80019504,20230131,0
370455,60037579,80072832,20230131,0
370459,60052432,80096217,20230131,0
370463,60059363,80110385,20230131,0
370467,60032592,80066948,20230131,0
370523,60069297,80132778,20230131,1
370524,60076077,80132285,20230131,1
370528,60036662,80072030,20230131,0
370535,60005938,80019614,20230131,0
370579,60005229,80047125,20230131,0
370580,60070013,80132968,20230131,1
370586,60074266,80132689,20230131,1
370609,60075621,80132893,20230131,1
370615,60022035,80053133,20230131,0
370619,60071431,80132049,20230131,1
374780,60015378,80100676,20230131,0
374781,60019044,80036969,20230131,0
374819,60064674,80128122,20230131,-1
374877,60030626,80070494,20230131,0
374888,60008788,80013056,20230131,0
374889,60051114,80101625,20230131,0
374966,69999985,80000724,20230131,0
374976,60023917,80055681,20230131,0
374977,60073849,80129631,20230131,0
374978,60035988,80072186,20230131,0
375054,60055194,80131242,20230131,-1
375055,60073274,80131854,20230131,1
375056,60042839,80099455,20230131,0
375062,60012011,80019458,20230131,0
375148,60008930,80131950,20230131,1
375275,60042373,80081434,20230131,0
375285,60071855,80132146,20230131,1
375286,60074932,80132156,20230131,1
375288,60022359,80132197,20230131,1
375290,60036079,80102608,20230131,0
375328,60036079,80102637,20230131,0
375332,60031502,80067779,20230131,0
375334,60055798,80102448,20230131,0
375405,60031954,80070750,20230131,0
376454,60016221,80036534,20230131,0
379816,60004272,80036015,20230131,0
380225,60075629,80131495,20230131,1
381482,60003454,80009127,20230131,0
389592,60071391,80132573,20230131,1
389598,60029983,80065138,20230131,0
389599,60029803,80068755,20230131,0
389601,60022937,80068358,20230131,0
389603,60075642,80131870,20230131,1
389850,60008725,80011327,20230131,0
389851,60015381,80036096,20230131,0
389852,60010297,80131551,20230131,1
394084,60014768,80054111,20230131,0
394090,60021641,80047736,20230131,0
394092,60012548,80053161,20230131,0
394130,60008928,80055258,20230131,0
394249,60039270,80131902,20230131,1
394252,60020967,80061456,20230131,0
394257,60031179,80068672,20230131,0
394344,60052239,80097015,20230131,0
394512,60037686,80083703,20230131,0
394517,60034715,80070524,20230131,0
394518,60071391,80132573,20230131,0
394519,60067159,80132442,20230131,1
396109,60075357,80131522,20230131,1
396144,60017340,80043013,20230131,0
396147,60035181,80131465,20230131,1
396148,60018872,80042300,20230131,0
400202,60034787,80073287,20230131,0
400207,60075283,80132806,20230131,1
400210,60056991,80132993,20230131,1
400211,60034060,80072293,20230131,0
400267,60068904,80132173,20230131,1
402455,60027974,80069914,20230131,0
403137,60023251,80055702,20230131,0
403138,60017980,80034402,20230131,0
403141,60019105,80086191,20230131,0
403148,60035743,80081810,20230131,0
403242,60018637,80037713,20230131,0
403245,60072701,80131735,20230131,1
403246,60075268,80131751,20230131,1
409279,60071972,80132158,20230131,1
409280,60051627,80132087,20230131,1
410723,60026389,80059190,20230131,0
410855,60021309,80071746,20230131,0
410858,60044555,80131463,20230131,1
410860,60006894,80132616,20230131,1
411240,60075268,80131750,20230131,1
411241,60057050,80131755,20230131,1
411242,60072004,80132586,20230131,1
411263,60007005,80009115,20230131,0
411264,60027530,80072464,20230131,0
411266,60015449,80072403,20230131,0
411272,60006914,80009153,20230131,0
414766,60023595,80070011,20230131,0
414769,60054338,80102373,20230131,0
414808,60066796,80131592,20230131,1
414811,60014571,80055490,20230131,0
414812,60074577,80131471,20230131,1
414861,60055323,80101509,20230131,0
414866,60023655,80102156,20230131,0
415031,60032248,80067470,20230131,0
415035,60068745,80131641,20230131,1
415038,60031635,80132590,20230131,1
415044,60068474,80131642,20230131,1
415081,60075863,80131805,20230131,1
415086,60053611,80102225,20230131,0
415095,60021670,80099132,20230131,0
415167,60012418,80028715,20230131,0
415168,60023355,80053420,20230131,0
415170,60048826,80099995,20230131,0
415171,60022274,80072193,20230131,0
415177,60071341,80129141,20230131,0
415178,60022604,80053085,20230131,0
415179,60074577,80131471,20230131,0
415181,60059145,80131734,20230131,1
415324,60026712,80060567,20230131,0
415333,60011519,80018377,20230131,0
415334,60075692,80132497,20230131,1
415477,60075669,80132483,20230131,1
415481,60072426,80132352,20230131,1
415485,60008543,80132561,20230131,1
415488,60071330,80132849,20230131,1
415599,60041110,80097545,20230131,0
415606,60074719,80131959,20230131,1
415611,60074144,80132125,20230131,1
419764,60029261,80063015,20230131,0
432067,60033143,80068279,20230131,0
432076,60074679,80131634,20230131,1
432114,60010424,80017227,20230131,0
432116,60075876,80131683,20230131,1
432117,60075825,80132653,20230131,1
432123,60012036,80019370,20230131,0
432125,60033072,80081516,20230131,0
432127,60037464,80073233,20230131,0
432184,60041228,80101820,20230131,0
432195,60011716,80017330,20230131,0
432287,60061132,80132345,20230131,1
432288,60022448,80054524,20230131,0
432289,60071835,80132675,20230131,1
432292,60028068,80068244,20230131,0
432295,60075888,80132365,20230131,1
432379,60073065,80132949,20230131,1
432381,60070112,80133014,20230131,1
432594,60075427,80132160,20230131,1
432599,60074543,80133031,20230131,1
432605,60027974,80073172,20230131,0
432610,60021531,80055864,20230131,0
432611,60050874,80099745,20230131,0
432646,60055194,80131227,20230131,-1
432651,60046843,80091108,20230131,0
432750,60075793,80132961,20230131,1
435070,60042773,80130635,20230131,-1
436289,60000990,80004131,20230131,0
436293,60011952,80018176,20230131,0
436298,60010920,80036562,20230131,0
436351,60017713,80032581,20230131,0
436356,60026841,80068996,20230131,0
436428,60024304,80103055,20230131,0
436429,60035040,80071103,20230131,0
436430,60015407,80131377,20230131,-1
436431,60071991,80131898,20230131,1
436439,60007953,80015934,20230131,0
436518,60035206,80072664,20230131,0
436520,60007594,80009449,20230131,0
436523,60020444,80053297,20230131,0
436524,60059355,80131446,20230131,1
436525,60024844,80060855,20230131,0
436627,60023357,80053326,20230131,0
436654,60039572,80133045,20230131,1
436659,60012035,80018394,20230131,0
436662,60004651,80004222,20230131,0
436667,60000156,80000302,20230131,0
436740,60055714,80102866,20230131,0
436741,60075231,80132612,20230131,1
436747,60026573,80060930,20230131,0
436750,60058469,80132724,20230131,1
437295,60023212,80052671,20230131,0
437296,60045327,80099805,20230131,0
437302,60020038,80055526,20230131,0
437303,60056091,80132892,20230131,1
437304,60024145,80068829,20230131,0
437306,60033277,80073492,20230131,0
437395,60025485,80067389,20230131,0
437400,60040541,80101218,20230131,0
437410,60031231,80068772,20230131,0
437502,60041220,80101915,20230131,0
437509,60031105,80064940,20230131,0
437558,60031413,80132407,20230131,1
437560,60076141,80133058,20230131,1
437810,60073064,80132969,20230131,1
437814,60075766,80132022,20230131,1
437819,60029567,80065237,20230131,0
437830,60064968,80130033,20230131,-1
437833,60026111,80131606,20230131,1
439070,60033233,80081620,20230131,0
439079,60018205,80034164,20230131,0
439080,60024921,80098285,20230131,0
439311,60074407,80131493,20230131,1
439368,60034529,80070717,20230131,0
439369,60034828,80071859,20230131,0
439370,60032280,80072091,20230131,0
439437,60046269,80101691,20230131,0
439444,60053048,80097001,20230131,0
439469,60071009,80131719,20230131,1
439470,60075806,80131754,20230131,1
439471,60004877,80009079,20230131,0
439472,60033989,80072290,20230131,0
439477,60015532,80070487,20230131,0
439479,60042492,80086898,20230131,0
439487,60031442,80066780,20230131,0
439488,60055325,80103077,20230131,0
439494,60018053,80036800,20230131,0
439497,60013144,80034411,20230131,0
439498,60011519,80018376,20230131,0
439508,60022870,80055338,20230131,0
439509,60046238,80128819,20230131,-1
439515,60072329,80131594,20230131,1
439545,60073287,80128129,20230131,1
439549,60053155,80096853,20230131,0
439550,60071859,80131083,20230131,-1
439552,60068597,80131916,20230131,1
439608,60023251,80053661,20230131,0
439612,60030821,80071851,20230131,0
439615,60072561,80132276,20230131,1
439620,60076148,80133055,20230131,1
439628,60075000,80131987,20230131,1
439632,60028776,80067391,20230131,0
439634,60016088,80055574,20230131,0
439639,60012920,80071877,20230131,0
439699,60033105,80067716,20230131,0
439707,60075521,80131953,20230131,1
439711,60071708,80132967,20230131,1
439712,60053045,80131490,20230131,1
439731,60072421,80132466,20230131,1
439735,60016764,80132579,20230131,1
439740,60074684,80132727,20230131,1
439741,60067092,80132905,20230131,1
439770,60069082,80132193,20230131,1
439775,60007886,80009550,20230131,0
439875,60005272,80009553,20230131,0
439877,60075797,80132411,20230131,1
439878,60053045,80132569,20230131,1
439951,60067436,80132422,20230131,1
439952,60076088,80132609,20230131,1
439954,60069100,80132615,20230131,1
439958,60069100,80132615,20230131,0
440152,60073797,80132007,20230131,1
440161,60009466,80013409,20230131,0
440226,60075887,80132024,20230131,1
440230,60071341,80132940,20230131,1
441096,60025997,80067039,20230131,0
441573,60026954,80071778,20230131,0
442233,60051313,80131472,20230131,1
442258,60024188,80068416,20230131,0
442260,60073055,80127270,20230131,-1
442270,60033585,80081105,20230131,0
442313,60045441,80087844,20230131,0
449274,60006620,80007334,20230131,0
457476,60017922,80033025,20230131,0
457478,60023212,80052673,20230131,0
457481,60075070,80132275,20230131,1
457483,60074116,80131974,20230131,1
457487,60059033,80130179,20230131,0
457488,60037625,80072732,20230131,0
457563,60071708,80132952,20230131,1
457566,60074719,80131930,20230131,1
457568,60019065,80037585,20230131,0
457570,60021353,80047458,20230131,0
457571,60018008,80037330,20230131,0
457574,60052430,80132918,20230131,1
457617,60075520,80132479,20230131,1
457620,60016351,80036389,20230131,0
