,Policy No,Count_Policy
18869,80019647,
18870,80019677,
18871,80020735,
18872,80021033,
18873,80021037,
18874,80015946,
18875,80017278,
18876,80017788,
18877,80014155,
18878,80014298,
18879,80014850,
18880,80014862,
18881,80015649,
18882,80015998,
18883,80015999,
18884,80016016,
18885,80016619,
18886,80016663,
18887,80016738,
18888,80016928,
18889,80018066,
18890,80018088,
18891,80034774,0.0
18892,80052276,
18893,80056083,
18894,80016511,
18895,80016545,
18896,80016130,
18897,80015324,
18898,80017084,
18899,80015336,
18900,80015343,
18901,80015975,
18902,80015983,
18903,80016907,
18904,80019473,
18905,80015325,
18906,80015327,
18907,80015341,
18908,80015971,
18909,80016962,
18910,80016966,
18911,80017956,
18912,80018118,
18913,80019463,
18914,80019491,
18915,80015323,
18916,80015369,
18917,80016054,
18918,80016184,
18919,80016999,
18920,80017245,
18921,80017253,
18922,80017359,
18923,80017380,
18924,80018354,
18925,80018599,
18926,80018901,
18927,80019015,
18928,80019111,
18929,80019145,
18930,80019190,
18931,80019470,0.0
18932,80020012,
18933,80020017,
18934,80022424,
18935,80023161,
18936,80024743,
18937,80024931,
18938,80027733,
18939,80028035,
18940,80029353,
18941,80030279,
18942,80031425,
18943,80031478,
18944,80031920,
18945,80036344,
18946,80036924,
18947,80037290,
18948,80041315,
18949,80048018,
18950,80049010,
18951,80059994,
18952,80063173,
18953,80063174,
18954,80015293,
18955,80016584,
18956,80019504,0.0
18957,80015374,
18958,80015381,
18959,80015397,
18960,80016417,
18961,80017438,
18962,80017516,
18963,80017961,
18964,80019095,
18965,80019280,
18966,80019304,0.0
18967,80019519,
18968,80019521,
18969,80019522,
18970,80019589,
18971,80020600,
18972,80020723,
18973,80021293,
18974,80021300,
18975,80027144,
18976,80015385,
18977,80015493,
18978,80015499,
18979,80016683,
18980,80017920,
18981,80018311,
18982,80015370,
18983,80015382,
18984,80015410,
18985,80041317,
18986,80015454,
18987,80021340,
18988,80023868,
18989,80028486,
18990,80015793,
18991,80015824,
18992,80016499,
18993,80017011,
18994,80017012,
18995,80017019,
18996,80017373,
18997,80017411,
18998,80017850,
18999,80018350,
19000,80018353,
19001,80018419,
19002,80019357,
19003,80051792,
19004,80015352,
19005,80015788,
19006,80020692,
19007,80015340,
19008,80016296,
19009,80016334,
19010,80017299,
19011,80017317,
19012,80029227,
19013,80015527,
19014,80015926,
19015,80016264,
19016,80017441,
19017,80015476,
19018,80015516,
19019,80015957,
19020,80016434,
19021,80016910,
19022,80016994,
19023,80016996,
19024,80017123,
19025,80017236,
19026,80017272,0.0
19027,80018314,
19028,80018319,
19029,80018611,
19030,80021406,
19031,80021519,
19032,80022074,
19033,80015954,
19034,80016759,
19035,80015657,
19036,80019900,
19037,80016846,
19038,80015717,
19039,80016938,
19040,80016940,
19041,80018971,
19042,80019130,
19043,80018895,
19044,80031765,
19045,80016497,
19046,80026821,
19047,80026843,
19048,80037792,
19049,80016954,
19050,80019243,
19051,80036562,0.0
19052,80078945,
19053,80016485,
19054,80017300,
19055,80017311,
19056,80017783,
19057,80018837,
19058,80018922,
19059,80017160,0.0
19060,80018295,0.0
19061,80015972,
19062,80035214,
19063,80081141,
19064,80016922,
19065,80015791,
19066,80015641,
19067,80016666,
19068,80015825,
19069,80015643,
19070,80015870,
19071,80016071,
19072,80017375,
19073,80017388,0.0
19074,80017389,0.0
19075,80017393,
19076,80018285,0.0
19077,80019279,
19078,80015491,
19079,80056567,
19080,80057448,
19081,80015691,
19082,80015967,
19083,80016042,
19084,80017133,
19085,80017570,
19086,80017958,
19087,80018227,
19088,80018267,
19089,80021193,
19090,80021196,
19091,80025069,
19092,80026039,
19093,80027368,
19094,80118166,
19095,80119474,
19096,80129816,
19097,80130398,
19098,80132337,1.0
19099,80015569,
19100,80015671,
19101,80016032,
19102,80015711,
19103,80015722,
19104,80017614,
19105,80022282,
19106,80024220,
19107,80025599,
19108,80016376,
19109,80016458,
19110,80017872,
19111,80017885,
19112,80018517,
19113,80018519,
19114,80019034,
19115,80016377,
19116,80016439,
19117,80017759,
19118,80015683,
19119,80015747,
19120,80023080,
19121,80024195,
19122,80015477,
19123,80016644,
19124,80017854,
19125,80017798,
19126,80016226,
19127,80016229,
19128,80016230,
19129,80016234,
19130,80016243,
19131,80017753,
19132,80017823,
19133,80017846,
19134,80017863,
19135,80017868,
19136,80018656,
19137,80018668,
19138,80018703,
19139,80015681,
19140,80015645,
19141,80016159,
19142,80016822,
19143,80016627,
19144,80016633,
19145,80018132,
19146,80015885,
19147,80015887,
19148,80015955,
19149,80016894,
19150,80016171,
19151,80016266,
19152,80017360,
19153,80017361,
19154,80018846,
19155,80021382,
19156,80021386,
19157,80021392,
19158,80022599,
19159,80015528,
19160,80015542,
19161,80015586,
19162,80016653,
19163,80015530,
19164,80015533,
19165,80015639,
19166,80024712,
19167,80018987,
19168,80015577,
19169,80019157,
19170,80015875,
19171,80016271,
19172,80016397,
19173,80017023,
19174,80018612,
19175,80028650,
19176,80034451,
19177,80034464,
19178,80034465,
19179,80015872,
19180,80015557,
19181,80015522,
19182,80015570,
19183,80015560,
19184,80015567,
19185,80015547,
19186,80015619,
19187,80015974,
19188,80016100,
19189,80016311,
19190,80016905,
19191,80016908,
19192,80017262,
19193,80019494,
19194,80019496,
19195,80020766,
19196,80016198,
19197,80016213,
19198,80018157,
19199,80018500,
19200,80018513,
19201,80018539,
19202,80019121,
19203,80019213,
19204,80019388,
19205,80019480,
19206,80021138,
19207,80031885,
19208,80021898,
19209,80015651,
19210,80015655,
19211,80016099,
19212,80016367,
19213,80017235,
19214,80017763,
19215,80017865,
19216,80017927,
19217,80018137,
19218,80018918,
19219,80019934,
19220,80021257,
19221,80024684,
19222,80024811,
19223,80018732,
19224,80020106,
19225,80021387,
19226,80017506,
19227,80017533,
19228,80017566,
19229,80016241,
19230,80016277,
19231,80017358,
19232,80017852,
19233,80018931,
19234,80021418,
19235,80021530,
19236,80022810,
19237,80022901,
19238,80023029,
19239,80024150,
19240,80025347,
19241,80025548,
19242,80016274,
19243,80017858,
19244,80018946,
19245,80021466,
19246,80022807,
19247,80025612,
19248,80015718,
19249,80015726,
19250,80015859,
19251,80017773,
19252,80019161,
19253,80017642,
19254,80018843,
19255,80021396,
19256,80017923,
19257,80015966,
19258,80016004,
19259,80016400,
19260,80016465,
19261,80017493,
19262,80018008,
19263,80021876,
19264,80018948,
19265,80016236,
19266,80017598,
19267,80022711,
19268,80026980,
19269,80015879,
19270,80016781,
19271,80012099,
19272,80012469,
19273,80013272,
19274,80014093,
19275,80014463,
19276,80015679,
19277,80016093,
19278,80017250,
19279,80017565,
19280,80018136,
19281,80018336,
19282,80018773,
19283,80019848,
19284,80020330,
19285,80021538,
19286,80038554,
19287,80068747,0.0
19288,80019188,
19289,80018925,
19290,80015725,
19291,80015730,
19292,80015888,
19293,80015953,
19294,80017913,
19295,80021840,
19296,80023896,
19297,80015755,
19298,80001102,
19299,80001104,
19300,80001105,
19301,80001287,
19302,80001382,
19303,80001383,
19304,80001476,
19305,80001491,
19306,80001776,
19307,80001903,
19308,80001914,
19309,80002177,
19310,80002502,
19311,80002735,
19312,80002745,
19313,80002932,
19314,80003009,
19315,80003436,
19316,80003496,
19317,80003686,
19318,80004097,
19319,80004156,
19320,80004674,
19321,80004741,
19322,80004786,
19323,80005097,
19324,80005585,
19325,80005595,
19326,80005646,
19327,80005984,
19328,80006383,
19329,80006432,
19330,80006433,
19331,80006474,
19332,80006501,
19333,80006710,
19334,80007045,
19335,80007993,
19336,80008508,
19337,80009672,
19338,80010257,
19339,80010261,
19340,80010945,
19341,80011404,
19342,80011405,
19343,80011408,
19344,80011410,
19345,80011807,
19346,80012947,
19347,80014686,
19348,80018476,
19349,80018479,
19350,80018606,
19351,80018722,
19352,80018725,
19353,80018734,
19354,80020806,
19355,80020836,
19356,80020942,
19357,80020945,
19358,80021871,
19359,80022346,
19360,80022798,
19361,80023091,
19362,80023481,
19363,80024318,
19364,80027304,
19365,80027774,
19366,80031587,
19367,80031808,
19368,80031994,
19369,80032774,
19370,80032947,
19371,80034233,
19372,80035623,
19373,80039379,
19374,80042748,
19375,80048271,
19376,80048359,
19377,80055600,
19378,80056147,
19379,80057679,
19380,80060765,
19381,80065063,
19382,80098467,
19383,80098469,
19384,80016595,
19385,80021708,
19386,80016539,
19387,80016568,
19388,80017679,
19389,80021533,
19390,80023829,
19391,80016144,
19392,80016146,
19393,80017591,
19394,80017603,
19395,80018247,
19396,80018249,
19397,80016009,
19398,80016011,
19399,80019051,
19400,80016036,
19401,80016037,
19402,80016158,
19403,80016605,
19404,80017334,
19405,80018772,0.0
19406,80024554,
19407,80040742,
19408,80120162,
19409,80121420,
19410,80017694,
19411,80017700,
19412,80017708,
19413,80001652,
19414,80001655,
19415,80001656,
19416,80001660,
19417,80001661,
19418,80001663,
19419,80001893,
19420,80001909,
19421,80001916,
19422,80001936,
19423,80001938,
19424,80001939,
19425,80001941,
19426,80002157,
19427,80002158,
19428,80002159,
19429,80003861,
19430,80005528,
19431,80005579,
19432,80005887,
19433,80007079,
19434,80008320,
19435,80008348,
19436,80009143,0.0
19437,80009148,
19438,80009239,0.0
19439,80009675,
19440,80009831,
19441,80009906,
19442,80009972,
19443,80010082,
19444,80010757,
19445,80010991,
19446,80011397,
19447,80011453,0.0
19448,80012808,
19449,80013505,
19450,80016529,
19451,80016535,
19452,80016639,
19453,80017076,
19454,80017130,
19455,80019949,
19456,80021187,
19457,80022559,
19458,80034195,
19459,80038070,
19460,80041229,
19461,80015413,
19462,80016027,
19463,80016091,
19464,80016095,
19465,80016102,
19466,80016330,
19467,80016991,
19468,80017069,
19469,80018810,
19470,80019429,0.0
19471,80020907,
19472,80030055,
19473,80030108,
19474,80031231,
19475,80022413,
19476,80024180,
19477,80024194,
19478,80026358,
19479,80016246,
19480,80016263,
19481,80017811,
19482,80018633,
19483,80018636,
19484,80022618,
19485,80016164,
19486,80016170,
19487,80018720,
19488,80016294,
19489,80016818,
19490,80016823,0.0
19491,80017778,0.0
19492,80018920,
19493,80019004,
19494,80023450,0.0
19495,80023484,
19496,80025495,
19497,80033103,
19498,80033130,
19499,80035439,
19500,80016297,
19501,80016815,
19502,80033102,
19503,80033167,
19504,80017307,
19505,80016028,
19506,80016078,
19507,80016528,
19508,80016993,
19509,80017545,
19510,80018653,
19511,80017730,
19512,80017734,
19513,80017887,
19514,80018748,
19515,80018814,
19516,80018826,
19517,80019036,
19518,80019072,
19519,80016096,
19520,80016097,
19521,80016101,
19522,80016103,
19523,80016104,
19524,80016108,
19525,80016109,
19526,80016519,
19527,80017038,
19528,80017045,
19529,80017067,
19530,80017599,
19531,80018010,
19532,80018152,
19533,80018718,
19534,80018724,
19535,80018785,
19536,80019309,
19537,80019322,
19538,80019672,
19539,80020264,
19540,80020481,
19541,80020696,
19542,80016593,
19543,80021673,
19544,80021752,
19545,80017845,
19546,80018105,
19547,80018108,
19548,80018122,
19549,80018225,
19550,80018289,
19551,80018294,
19552,80018945,
19553,80019228,
19554,80016671,
19555,80016142,
19556,80016143,
19557,80016224,
19558,80016231,
19559,80017376,
19560,80017382,
19561,80017421,
19562,80017453,
19563,80018524,
19564,80018528,
19565,80018537,
19566,80016121,
19567,80016124,
19568,80016181,
19569,80016183,
19570,80016985,
19571,80016987,
19572,80017377,
19573,80017400,
19574,80018631,
19575,80018646,
19576,80019189,
19577,80019248,
19578,80016209,
19579,80016211,
19580,80016265,
19581,80016268,
19582,80017582,
19583,80017595,
19584,80017601,
19585,80017612,
19586,80018234,
19587,80018246,
19588,80018271,
19589,80018529,
19590,80016205,
19591,80016239,
19592,80017579,
19593,80017589,
19594,80017596,
19595,80017600,
19596,80018228,
19597,80018230,
19598,80018235,
19599,80018258,
19600,80016287,
19601,80016620,
19602,80016133,
19603,80017416,
19604,80016053,
19605,80017020,
19606,80017193,
19607,80017246,
19608,80018495,
19609,80019006,
19610,80019107,
19611,80029126,
19612,80044373,
19613,80046590,
19614,80069260,
19615,80069261,
19616,80097649,
19617,80125967,
19618,80016084,
19619,80017729,
19620,80016717,
19621,80017586,
19622,80021534,
19623,80021557,
19624,80022360,
19625,80022582,
19626,80023772,
19627,80026258,
19628,80016204,
19629,80016206,
19630,80018373,
19631,80018375,0.0
19632,80022223,
19633,80016632,
19634,80016831,
19635,80016555,
19636,80016580,
19637,80018031,
19638,80018440,
19639,80018654,
19640,80019607,0.0
19641,80024521,
19642,80029684,
19643,80029780,
19644,80029786,
19645,80029824,
19646,80030175,
19647,80030183,
19648,80031785,
19649,80031788,
19650,80038107,
19651,80038151,
19652,80038172,
19653,80038179,
19654,80038185,
19655,80038191,
19656,80038201,
19657,80038229,
19658,80038233,
19659,80038235,
19660,80038237,
19661,80038239,
19662,80039930,
19663,80039932,
19664,80039933,
19665,80018408,
19666,80007242,
19667,80007381,
19668,80019211,
19669,80020187,
19670,80020355,
19671,80029683,
19672,80019806,
19673,80029771,
19674,80017068,
19675,80017349,
19676,80018039,
19677,80018046,
19678,80020195,
19679,80023828,
19680,80024900,
19681,80027269,
19682,80016573,
19683,80017206,
19684,80017251,
19685,80017255,
19686,80018029,
19687,80018035,
19688,80020196,
19689,80021024,
19690,80021025,
19691,80021028,
19692,80022361,
19693,80022386,
19694,80023604,
19695,80028264,
19696,80028428,
19697,80016128,
19698,80018150,
19699,80018151,
19700,80018154,
19701,80018359,
19702,80019260,
19703,80019282,
19704,80032496,
19705,80020867,
19706,80021252,
19707,80023001,
19708,80023009,
19709,80025790,
19710,80025842,
19711,80033206,
19712,80058813,
19713,80016344,
19714,80016351,
19715,80016309,
19716,80016361,
19717,80016973,
19718,80016974,
19719,80016983,
19720,80017201,
19721,80018195,
19722,80018198,
19723,80018262,
19724,80016247,
19725,80016257,
19726,80017058,
19727,80018197,
19728,80018206,
19729,80018259,
19730,80016316,
19731,80016335,
19732,80016980,
19733,80017006,
19734,80017008,
19735,80017010,
19736,80017196,
19737,80018265,
19738,80018270,
19739,80018321,
19740,80018602,
19741,80016301,
19742,80016341,
19743,80017054,
19744,80017295,
19745,80018429,
19746,80018435,
19747,80018445,
19748,80018715,
19749,80017725,
19750,80017960,
19751,80019203,
19752,80019221,
19753,80016674,
19754,80017649,
19755,80019223,
19756,80016841,
19757,80016844,
19758,80016862,
19759,80016875,
19760,80016877,
19761,80016964,
19762,80020796,
19763,80016569,
19764,80017095,
19765,80017323,
19766,80017364,
19767,80018036,
19768,80018038,
19769,80020793,
19770,80021344,
19771,80024175,
19772,80025369,
19773,80029753,
19774,80016585,
19775,80017362,
19776,80017369,
19777,80017387,
19778,80020830,
19779,80021350,
19780,80017520,0.0
19781,80017748,
19782,80018642,
19783,80019060,
19784,80019768,0.0
19785,80019994,
19786,80021608,
19787,80030171,
19788,80017226,
19789,80043153,
19790,80048236,
19791,80019922,
19792,80016534,
19793,80016958,
19794,80017756,
19795,80016408,
19796,80016418,
19797,80017281,
19798,80017296,
19799,80018560,
19800,80018585,
19801,80016409,
19802,80016667,
19803,80016410,
19804,80018071,
19805,80018183,
19806,80020085,
19807,80016450,
19808,80016899,
19809,80016936,
19810,80017052,
19811,80019240,
19812,80019960,
19813,80020661,
19814,80016457,
19815,80131030,
19816,80131032,
19817,80131153,
19818,80131154,
19819,80131167,
19820,80131176,
19821,80132060,1.0
19822,80016329,
19823,80016935,0.0
19824,80017491,
19825,80023152,
19826,80039593,
19827,80016312,
19828,80017063,
19829,80018260,
19830,80019992,
19831,80016645,
19832,80017046,
19833,80019135,
19834,80019140,
19835,80019308,
19836,80019528,
19837,80019776,
19838,80016303,
19839,80017314,
19840,80017085,
19841,80017309,
19842,80017408,
19843,80020629,
19844,80020055,
19845,80020089,
19846,80020602,
19847,80020621,
19848,80020633,
19849,80020637,
19850,80012835,
19851,80012837,
19852,80012842,
19853,80012872,
19854,80013423,
19855,80013475,
19856,80013480,
19857,80013794,
19858,80013870,
19859,80013876,
19860,80014153,
19861,80014659,
19862,80015895,
19863,80016314,
19864,80016320,
19865,80016438,
19866,80016462,
19867,80016466,
19868,80016835,
19869,80017321,
19870,80017336,
19871,80017343,
19872,80017345,
19873,80017347,
19874,80017675,
19875,80017695,
19876,80017703,0.0
19877,80017705,
19878,80017744,
19879,80017819,
19880,80017831,
19881,80017867,
19882,80017873,
19883,80017881,
19884,80017884,
19885,80017888,
19886,80017912,
19887,80017914,
19888,80018042,
19889,80018670,
19890,80018973,
19891,80019081,
19892,80019097,
19893,80019105,
19894,80019106,
19895,80019114,
19896,80019118,
19897,80019129,
19898,80019131,
19899,80019134,
19900,80019136,
19901,80019142,
19902,80019155,
19903,80019177,
19904,80019178,
19905,80019609,0.0
19906,80019661,
19907,80019693,
19908,80019701,
19909,80019702,
19910,80019704,
19911,80019705,
19912,80019706,
19913,80019707,
19914,80019864,
19915,80019952,
19916,80020204,
19917,80022123,
19918,80022401,
19919,80025011,
19920,80017445,
19921,80017450,
19922,80019080,
19923,80019262,
19924,80019802,
19925,80018684,
19926,80019108,
19927,80019148,
19928,80019150,
19929,80019860,
19930,80019869,
19931,80020058,0.0
19932,80020746,
19933,80020834,
19934,80021966,
19935,80019261,
19936,80016830,
19937,80017903,
19938,80018395,
19939,80016813,
19940,80017465,
19941,80019885,
19942,80019925,
19943,80019948,
19944,80020048,
19945,80016804,
19946,80017462,
19947,80019120,
19948,80019597,
19949,80019599,
19950,80019600,
19951,80019601,
19952,80020033,
19953,80024841,
19954,80018970,
19955,80017910,
19956,80019289,
19957,80019643,
19958,80019644,
19959,80019778,
19960,80019791,
19961,80016785,
19962,80016808,
19963,80017458,
19964,80018581,
19965,80020051,
19966,80017882,
19967,80017889,
19968,80018494,
19969,80018497,
19970,80018511,
19971,80019146,
19972,80019538,
19973,80022982,
19974,80022984,
19975,80009012,
19976,80016455,
19977,80016473,
19978,80017651,
19979,80018058,
19980,80018474,
19981,80018644,
19982,80125686,
19983,80030657,
19984,80031424,
19985,80031512,
19986,80031707,
19987,80031723,
19988,80033920,
19989,80035609,
19990,80037082,
19991,80037459,
19992,80037467,
19993,80038374,
19994,80038767,
19995,80039944,
19996,80042007,
19997,80043924,
19998,80046799,
19999,80048294,
20000,80048601,
20001,80048809,
20002,80048853,
20003,80049297,
20004,80049900,
20005,80049901,
20006,80049927,
20007,80049935,
20008,80050131,
20009,80051690,
20010,80051760,
20011,80051817,
20012,80051849,
20013,80051888,
20014,80052890,
20015,80052963,
20016,80052966,
20017,80053035,
20018,80053052,
20019,80053060,
20020,80053409,
20021,80053755,
20022,80053759,
20023,80053760,
20024,80053761,
20025,80053776,
20026,80054153,
20027,80016472,
20028,80017451,
20029,80015394,
20030,80017352,
20031,80017354,
20032,80018481,
20033,80019478,
20034,80019630,0.0
20035,80019930,
20036,80020655,
20037,80021089,
20038,80021121,
20039,80021123,
20040,80021137,
20041,80022737,
20042,80023250,
20043,80026657,
20044,80027143,
20045,80028320,
20046,80029150,
20047,80033384,
20048,80034580,
20049,80040813,
20050,80041197,
20051,80042277,
20052,80042376,
20053,80017786,
20054,80017864,
20055,80022654,
20056,80023531,
20057,80026942,
20058,80018809,
20059,80019038,0.0
20060,80019045,
20061,80019075,
20062,80022817,
20063,80023522,
20064,80026956,
20065,80016506,
20066,80016443,
20067,80016592,
20068,80017041,
20069,80018444,
20070,80018671,
20071,80022054,
20072,80037784,0.0
20073,80087450,0.0
20074,80087665,0.0
20075,80022614,
20076,80022827,
20077,80016859,
20078,80016860,
20079,80021681,
20080,80022363,
20081,80028475,
20082,80030295,
20083,80031804,
20084,80016630,
20085,80018708,
20086,80020011,
20087,80025832,
20088,80030194,
20089,80031869,
20090,80017320,
20091,80017326,
20092,80018030,
20093,80018034,
20094,80018044,
20095,80020517,
20096,80021211,
20097,80021754,
20098,80022381,
20099,80023621,
20100,80028271,
20101,80017199,
20102,80017203,
20103,80018076,
20104,80018464,
20105,80019907,
20106,80024469,
20107,80025825,
20108,80025937,
20109,80026313,
20110,80030169,
20111,80031854,
20112,80016565,
20113,80017074,
20114,80017118,
20115,80017121,
20116,80017173,
20117,80017209,
20118,80017301,
20119,80017303,
20120,80018037,
20121,80018409,
20122,80018410,
20123,80019808,
20124,80020521,
20125,80021220,
20126,80022267,
20127,80023598,
20128,80025071,
20129,80027251,
20130,80027265,
20131,80028200,
20132,80038092,
20133,80038094,
20134,80038241,
20135,80038242,
20136,80038245,
20137,80038253,
20138,80038263,
20139,80038265,
20140,80038266,
20141,80038268,
20142,80038269,
20143,80038270,
20144,80038272,
20145,80038273,
20146,80038274,
20147,80038276,
20148,80039929,
20149,80039931,
20150,80039934,
20151,80017891,
20152,80020908,
20153,80022586,
20154,80024317,
20155,80025811,
20156,80025818,
20157,80019209,
20158,80016750,
20159,80016786,
20160,80017399,
20161,80017406,
20162,80019224,
20163,80019229,
20164,80018204,
20165,80019760,
20166,80019879,
20167,80020477,
20168,80021703,
20169,80022573,
20170,80023789,
20171,80016744,
20172,80016763,
20173,80016811,
20174,80017657,
20175,80017661,
20176,80019536,
20177,80019578,
20178,80017508,
20179,80017510,
20180,80000984,
20181,80002940,
20182,80017641,
20183,80018002,
20184,80018400,
20185,80019872,
20186,80021976,
20187,80024833,
20188,80027904,
20189,80027907,
20190,80035025,
20191,80017015,
20192,80017930,
20193,80018461,
20194,80018637,
20195,80018787,
20196,80019246,
20197,80019247,
20198,80019251,
20199,80016590,
20200,80017120,
20201,80017247,
20202,80018032,
20203,80018033,
20204,80019816,
20205,80020526,
20206,80021259,
20207,80023663,
20208,80023665,
20209,80024730,
20210,80025068,
20211,80027281,
20212,80028169,
20213,80016659,
20214,80017939,
20215,80019187,
20216,80016903,
20217,80018657,
20218,80019087,
20219,80019255,
20220,80016591,
20221,80016680,
20222,80019191,
20223,80021795,
20224,80016724,
20225,80018352,
20226,80019448,
20227,80016790,
20228,80016796,
20229,80017274,
20230,80018872,
20231,80017275,
20232,80017286,
20233,80016923,
20234,80023976,
20235,80018824,
20236,80019998,
20237,80017538,
20238,80018327,
20239,80031118,
20240,80016911,
20241,80017552,
20242,80014831,
20243,80017086,
20244,80017087,
20245,80017551,
20246,80017698,
20247,80017774,
20248,80018672,
20249,80018719,
20250,80021730,
20251,80016912,
20252,80017414,
20253,80017418,
20254,80017517,
20255,80017557,
20256,80017532,
20257,80019210,
20258,80017395,
20259,80019989,
20260,80017267,
20261,80017401,
20262,80017935,
20263,80018086,
20264,80018380,
20265,80019295,
20266,80019464,0.0
20267,80021142,
20268,80021144,
20269,80017404,
20270,80017577,
20271,80017984,
20272,80022787,
20273,80018111,
20274,80018116,
20275,80018120,
20276,80018187,
20277,80019751,
20278,80021713,
20279,80024605,
20280,80024623,
20281,80024625,
20282,80025120,
20283,80025124,
20284,80025132,
20285,80025139,
20286,80025141,
20287,80025153,
20288,80025163,
20289,80025707,
20290,80026801,
20291,80026864,
20292,80026881,
20293,80027644,
20294,80029295,
20295,80029297,
20296,80029300,
20297,80029303,
20298,80029305,
20299,80030725,
20300,80030727,
20301,80030732,
20302,80030733,
20303,80030818,
20304,80031203,
20305,80031215,
20306,80031223,
20307,80031226,
20308,80031229,
20309,80032321,
20310,80032324,
20311,80032366,
20312,80032832,
20313,80026792,
20314,80027666,
20315,80029434,
20316,80021066,
20317,80022958,
20318,80018910,
20319,80020009,
20320,80017461,
20321,80017549,
20322,80018700,
20323,80018891,
20324,80020042,
20325,80020061,
20326,80021621,
20327,80021891,
20328,80023076,
20329,80023081,
20330,80023104,
20331,80023116,
20332,80029539,
20333,80030596,
20334,80030661,
20335,80031162,
20336,80031295,
20337,80031343,
20338,80033115,
20339,80018358,
20340,80018640,
20341,80029156,
20342,80029157,
20343,80029158,
20344,80029159,
20345,80030413,
20346,80030767,
20347,80036180,
20348,80037269,
20349,80087759,
20350,80089992,
20351,80092316,
20352,80094145,
20353,80100539,
20354,80017220,
20355,80025546,
20356,80017257,
20357,80018186,
20358,80019884,
20359,80023781,
20360,80026759,
20361,80017258,
20362,80018273,
20363,80019836,
20364,80021683,
20365,80022577,
20366,80023232,
20367,80026816,
20368,80017238,0.0
20369,80018172,
20370,80018490,
20371,80019838,
20372,80019841,
20373,80019937,
20374,80020681,
20375,80021636,
20376,80022845,
20377,80022850,
20378,80025114,
20379,80026689,
20380,80030345,
20381,80038987,
20382,80017947,
20383,80018017,
20384,80018778,
20385,80019794,0.0
20386,80019796,0.0
20387,80019798,0.0
20388,80019906,0.0
20389,80017259,
20390,80018201,
20391,80020581,
20392,80021699,
20393,80022714,
20394,80023295,
20395,80026804,
20396,80028158,
20397,80017807,
20398,80018998,
20399,80017866,
20400,80017890,
20401,80022681,
20402,80023515,
20403,80026981,
20404,80017088,
20405,80017090,
20406,80017101,
20407,80017966,
20408,80018051,
20409,80019858,
20410,80021244,
20411,80022856,
20412,80025284,
20413,80027003,
20414,80028189,
20415,80017378,
20416,80018048,
20417,80018548,
20418,80018550,
20419,80020782,
20420,80023798,
20421,80025372,
20422,80021853,
20423,80021867,
20424,80017322,
20425,80017152,
20426,80017156,
20427,80018930,0.0
20428,80019529,
20429,80019574,
20430,80019897,
20431,80019901,
20432,80038984,
20433,80017513,
20434,80017623,
20435,80018855,
20436,80019331,
20437,80019335,
20438,80019373,
20439,80020479,
20440,80029121,
20441,80017119,
20442,80017664,0.0
20443,80018223,
20444,80018320,0.0
20445,80018424,
20446,80018438,
20447,80018575,
20448,80018658,
20449,80019490,0.0
20450,80023149,
20451,80034263,
20452,80044300,
20453,80045937,
20454,80046932,
20455,80028989,
20456,80017137,
20457,80017486,
20458,80017519,
20459,80018613,
20460,80022900,
20461,80021864,
20462,80022625,
20463,80029748,
20464,80018226,
20465,80020046,
20466,80020876,
20467,80017140,
20468,80017050,
20469,80019099,
20470,80019137,
20471,80019167,
20472,80017480,
20473,80017027,
20474,80019024,
20475,80017477,
20476,80017543,
20477,80017764,
20478,80017770,
20479,80017141,
20480,80017154,
20481,80017157,
20482,80017305,
20483,80017308,
20484,80017467,
20485,80018890,
20486,80019398,
20487,80018027,
20488,80020938,
20489,80021370,
20490,80041769,
20491,80046471,
20492,80056175,
20493,80059627,
20494,80060694,
20495,80069891,
20496,80069894,
20497,80078699,
20498,80119189,
20499,80008795,
20500,80010777,
20501,80010779,
20502,80010810,
20503,80010814,
20504,80011012,
20505,80011013,
20506,80011014,
20507,80011015,
20508,80011016,
20509,80011017,
20510,80011018,
20511,80011019,
20512,80011020,
20513,80011021,
20514,80011037,
20515,80011047,
20516,80012057,
20517,80012063,
20518,80012071,
20519,80012074,
20520,80012082,
20521,80012087,
20522,80012095,
20523,80012113,
20524,80012127,
20525,80012147,
20526,80012150,
20527,80012179,
20528,80017791,
20529,80019169,
20530,80013866,
20531,80014421,
20532,80016694,
20533,80020606,
20534,80020776,
20535,80021163,
20536,80021774,
20537,80021779,
20538,80025857,
20539,80025928,
20540,80026266,
20541,80028871,
20542,80028883,
20543,80030362,
20544,80072037,
20545,80086136,
20546,80017184,
20547,80017186,
20548,80019434,0.0
20549,80019435,0.0
20550,80021084,
20551,80017151,
20552,80017174,
20553,80018475,
20554,80019821,0.0
20555,80020608,
20556,80021506,
20557,80021544,
20558,80017168,
20559,80017188,
20560,80017425,
20561,80017111,
20562,80017122,
20563,80017126,
20564,80017127,
20565,80017128,
20566,80017192,
20567,80017197,
20568,80017202,
20569,80017542,
20570,80017546,
20571,80017562,
20572,80018182,
20573,80018185,
20574,80019303,
20575,80019558,
20576,80019564,
20577,80019623,
20578,80019624,
20579,80019792,
20580,80031224,
20581,80018933,
20582,80019753,
20583,80020021,
20584,80017761,
20585,80019462,
20586,80020188,
20587,80023100,
20588,80017143,
20589,80017403,
20590,80018518,
20591,80024330,
20592,80024913,
20593,80016291,
20594,80016347,
20595,80016881,
20596,80017780,
20597,80018052,
20598,80018054,
